Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
6.25,81.25,6.25,6.25,0,4.58,242.15,242.76,241.32,155.54,153.01,154.94,99.28,106.96,103.08,79.38,66.84,73.11,183.69,193.64,0.32
6.25,81.25,6.25,6.25,0,4.57,244.63,238.38,237.82,154.16,154.30,156.76,96.92,105.74,105.01,78.57,65.49,72.03,183.47,191.09,0.33
6.25,81.25,6.25,6.25,0,4.58,236.24,244.81,243.92,153.23,155.68,154.04,98.03,105.66,106.10,79.43,66.70,73.06,183.43,193.49,0.32
31.25,31.25,6.25,31.25,0,3.97,202.23,205.80,194.34,142.71,144.64,140.63,74.32,77.73,80.55,58.15,46.29,52.22,162.04,141.46,0.35
31.25,31.25,6.25,31.25,0,3.99,202.87,206.67,191.09,132.95,145.04,144.43,66.25,83.25,81.41,58.06,45.52,51.79,160.61,140.29,0.35
31.25,31.25,6.25,31.25,0,3.99,205.77,207.29,202.92,137.10,144.33,137.54,79.36,85.60,86.06,63.34,51.39,57.37,161.55,153.88,0.34
6.25,31.25,31.25,31.25,0,3.84,192.87,185.06,189.29,139.25,142.40,142.26,59.33,64.59,66.78,47.69,38.06,42.88,157.23,117.91,0.38
6.25,31.25,31.25,31.25,0,3.85,207.06,183.36,204.89,142.90,130.00,145.02,68.72,70.82,58.59,51.45,41.85,46.65,159.02,127.48,0.37
6.25,31.25,31.25,31.25,0,3.83,184.67,193.41,181.69,138.25,145.78,144.66,53.26,66.50,66.18,45.93,34.85,40.39,157.46,111.62,0.38
31.25,6.25,31.25,31.25,0,3.59,181.57,192.13,196.57,135.33,132.19,133.76,69.96,68.14,61.01,51.09,42.72,46.90,152.54,127.62,0.36
31.25,6.25,31.25,31.25,0,3.59,189.87,179.04,195.19,135.20,131.95,133.42,65.76,61.22,65.90,49.48,41.24,45.36,151.69,123.75,0.36
31.25,6.25,31.25,31.25,0,3.59,177.43,178.96,184.56,137.43,138.11,136.58,63.00,65.51,60.46,46.38,35.42,40.90,151.69,112.58,0.38
