Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
0,18.75,37.5,43.75,0,3.71,181.94,192.18,189.42,139.56,143.03,136.25,58.02,55.04,66.53,45.56,37.01,41.29,155.69,113.80,0.38
0,18.75,43.75,37.5,0,3.65,185.89,174.01,179.05,139.39,138.01,147.53,53.49,60.51,53.40,41.08,30.14,35.61,154.31,99.20,0.39
0,18.75,43.75,37.5,0,3.66,178.53,184.24,184.09,136.98,143.91,138.69,54.43,56.11,62.06,43.01,33.79,38.40,154.00,106.35,0.38
0,43.75,18.75,37.5,0,4.09,193.88,224.67,227.83,149.14,149.67,128.72,81.75,64.65,82.36,60.34,49.14,54.74,166.82,148.03,0.35
0,43.75,18.75,37.5,0,4.06,219.56,197.26,210.07,150.13,134.85,154.29,75.14,86.66,61.45,57.16,45.06,51.11,167.27,139.15,0.36
0,43.75,37.5,18.75,0,3.91,201.79,201.56,180.87,134.10,150.95,149.60,50.51,72.01,70.77,48.63,35.80,42.21,161.50,116.49,0.38
0,43.75,37.5,18.75,0,3.92,196.41,189.45,190.60,138.05,146.83,146.94,54.85,66.15,69.65,47.77,37.74,42.76,160.01,117.78,0.38
0,43.75,37.5,18.75,0,3.92,212.48,188.42,204.21,139.43,144.90,143.73,64.38,74.79,68.39,53.31,44.51,48.91,162.36,133.35,0.36
0,50,12.5,37.5,0,4.19,221.81,218.34,206.44,134.93,152.77,153.35,60.15,83.86,82.98,59.10,48.70,53.90,169.85,146.23,0.36
0,50,12.5,37.5,0,4.19,214.52,214.52,211.23,143.47,151.10,151.10,67.34,77.57,77.57,57.47,48.60,53.04,170.18,144.14,0.36
0,50,37.5,12.5,0,3.98,206.10,203.73,202.93,142.04,144.29,149.46,65.54,77.65,70.99,54.63,45.21,49.92,164.93,136.04,0.36
0,50,37.5,12.5,0,3.98,210.65,195.31,204.40,141.54,144.08,145.21,61.20,71.58,75.09,53.54,45.02,49.28,163.56,134.35,0.36
0,50,37.5,12.5,0,3.98,202.36,197.87,197.52,138.67,148.32,149.57,58.43,68.64,73.59,50.88,41.18,46.03,163.43,126.24,0.37
0,56.25,6.25,37.5,0,4.31,218.96,228.98,223.43,148.26,153.55,150.40,81.45,83.40,86.00,64.78,54.97,59.88,175.09,161.25,0.35
0,56.25,6.25,37.5,0,4.31,223.46,226.46,221.34,146.93,151.79,152.99,80.19,84.36,86.54,64.85,55.08,59.96,174.96,161.45,0.35
0,56.25,37.5,6.25,0,4.03,196.20,208.27,177.02,128.07,162.03,151.23,37.32,73.71,80.82,47.71,25.94,36.83,162.68,102.73,0.39
0,56.25,37.5,6.25,0,4.03,208.17,204.38,199.87,139.54,150.64,148.76,58.02,74.61,73.41,52.77,43.43,48.10,165.59,131.57,0.37
0,56.25,37.5,6.25,0,4.05,203.60,199.23,209.50,140.76,144.96,146.45,57.06,69.32,69.88,51.26,44.25,47.75,164.08,130.59,0.37
0,75,12.5,12.5,0,4.46,237.38,242.12,231.82,148.60,153.32,152.15,92.20,98.50,96.09,74.51,63.88,69.20,179.94,184.00,0.33
0,75,12.5,12.5,0,4.47,230.51,232.33,243.56,155.17,151.57,149.16,87.52,92.68,95.48,71.84,61.74,66.79,179.80,178.28,0.33
0,75,12.5,12.5,0,4.46,231.76,234.59,230.54,150.19,155.63,152.81,82.63,93.08,95.75,70.18,59.66,64.92,179.35,173.79,0.34
0,12.5,75,12.5,0,3.36,167.07,165.45,161.68,134.99,137.77,139.89,28.17,28.48,31.70,23.11,19.74,21.42,146.61,61.29,0.43
0,12.5,75,12.5,0,3.35,168.41,170.40,162.57,128.64,140.55,138.09,28.21,36.37,36.71,26.53,21.65,24.09,146.22,68.51,0.42
0,12.5,75,12.5,0,3.35,169.79,163.71,168.13,142.33,118.45,145.27,41.63,49.96,18.03,28.30,16.99,22.64,145.97,64.59,0.43
0,12.5,12.5,75,0,3.82,201.70,192.24,199.63,150.91,138.93,148.33,69.45,73.97,62.99,51.64,40.33,45.98,163.32,126.12,0.37
0,12.5,12.5,75,0,3.81,195.71,194.31,195.73,146.76,148.70,147.68,66.09,68.94,67.59,50.03,38.88,44.46,163.56,122.29,0.38
0,12.5,12.5,75,0,3.80,198.69,194.55,193.01,146.51,145.78,149.31,64.82,69.44,67.43,49.98,39.03,44.50,163.27,122.39,0.38
0,62.5,12.5,25,0,4.32,219.80,218.28,227.61,150.19,148.91,148.34,82.01,84.34,83.72,64.57,54.86,59.71,173.40,160.69,0.35
0,62.5,12.5,25,0,4.33,212.84,232.05,222.64,146.31,153.25,146.89,79.10,84.25,85.24,64.46,54.66,59.56,173.38,160.32,0.35
0,62.5,25,12.5,0,4.21,216.21,217.90,211.99,145.43,153.48,149.83,71.29,77.35,83.91,59.67,49.87,54.77,171.51,148.50,0.36
0,12.5,25,62.5,0,3.73,190.12,184.51,184.75,144.49,146.61,150.00,63.14,70.35,64.63,47.51,33.65,40.58,160.18,112.26,0.38
0,12.5,25,62.5,0,3.73,192.11,192.39,191.55,141.59,148.21,141.48,65.87,68.61,68.98,50.34,39.08,44.71,159.84,122.70,0.37
0,12.5,62.5,25,0,3.47,174.39,178.18,174.39,137.39,138.96,137.11,48.34,50.89,53.60,38.14,30.28,34.21,150.43,95.39,0.39
0,25,62.5,12.5,0,3.54,171.27,170.45,170.20,125.12,145.66,144.50,31.39,48.87,55.68,33.63,22.51,28.07,149.17,79.24,0.41
0,25,62.5,12.5,0,3.56,174.88,174.11,182.42,143.21,129.29,142.02,53.91,54.15,33.53,36.11,28.07,32.09,151.16,89.91,0.40
0,25,12.5,62.5,0,3.93,200.36,208.07,197.87,139.30,153.32,147.09,63.92,72.28,79.78,54.30,42.73,48.51,165.08,132.56,0.37
0,81.25,12.5,6.25,0,4.53,241.42,238.03,248.89,154.28,150.85,153.72,92.80,100.16,98.11,76.18,66.11,71.15,182.89,188.94,0.33
0,81.25,12.5,6.25,0,4.53,247.26,231.04,239.84,151.79,151.25,157.19,86.11,97.21,97.01,73.26,63.15,68.20,182.07,181.90,0.33
0,81.25,6.25,12.5,0,4.59,240.08,249.44,242.27,152.11,155.71,152.69,95.27,102.48,103.59,78.35,67.31,72.83,183.65,192.98,0.32
0,12.5,81.25,6.25,0,3.29,163.41,164.91,164.76,138.67,131.33,137.70,38.68,33.91,24.81,25.17,20.86,23.02,145.39,65.59,0.42
0,12.5,6.25,81.25,0,3.85,198.81,204.39,199.06,148.64,149.08,145.26,67.01,69.17,71.78,52.21,42.00,47.11,165.36,129.06,0.37
0,12.5,6.25,81.25,0,3.85,195.82,206.90,203.51,151.66,149.98,139.67,72.00,63.58,75.69,53.25,42.24,47.74,165.43,130.66,0.37
0,6.25,81.25,12.5,0,3.26,165.22,162.29,169.60,140.28,129.56,133.22,42.54,31.02,22.13,25.41,20.97,23.19,144.80,66.04,0.42
0,6.25,81.25,12.5,0,3.26,166.26,166.26,170.15,137.90,131.94,131.94,42.83,32.18,32.18,28.17,24.10,26.13,145.14,73.96,0.42
0,6.25,12.5,81.25,0,3.75,194.69,194.69,195.15,148.04,145.38,145.38,65.44,67.17,67.17,49.67,39.20,44.44,162.46,122.17,0.37
0,87.5,6.25,6.25,0,4.67,253.35,248.99,246.88,153.45,156.62,157.93,99.72,110.92,111.43,83.16,70.63,76.90,187.25,202.92,0.32
0,87.5,6.25,6.25,0,4.67,253.35,249.06,246.83,153.49,156.60,157.94,99.72,110.92,111.43,83.16,70.63,76.90,187.25,202.92,0.32
0,87.5,6.25,6.25,0,4.67,253.15,253.15,247.73,153.43,156.36,156.36,104.38,111.15,111.15,84.53,72.13,78.33,187.37,206.24,0.32
0,6.25,87.5,6.25,0,3.20,165.88,165.88,164.28,128.89,136.52,136.52,29.05,44.53,44.53,29.90,23.68,26.79,144.43,75.69,0.41
0,6.25,87.5,6.25,0,3.20,165.87,165.87,164.27,128.89,136.51,136.51,29.04,44.53,44.53,29.90,23.68,26.79,144.43,75.69,0.41
0,6.25,87.5,6.25,0,3.20,169.03,167.52,168.55,137.22,125.67,132.27,46.89,43.02,30.53,31.42,26.22,28.82,143.94,81.04,0.41
0,6.25,6.25,87.5,0,3.78,193.95,196.98,194.07,149.60,147.98,148.13,65.88,67.10,68.90,49.66,38.23,43.95,164.05,121.03,0.38
0,6.25,6.25,87.5,0,3.78,195.81,195.40,194.69,150.71,146.63,148.25,65.64,66.58,67.39,49.28,38.22,43.75,164.12,120.54,0.38
0,6.25,6.25,87.5,0,3.78,196.57,198.26,198.94,149.33,147.46,145.39,69.14,68.77,70.06,51.70,40.75,46.22,164.24,126.78,0.37
