Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
18.75,0,37.5,43.75,0,3.52,177.49,181.28,179.60,139.91,139.17,133.26,55.26,50.09,57.43,40.96,32.86,36.91,151.45,102.41,0.39
18.75,0,43.75,37.5,0,3.49,174.93,182.42,181.51,136.45,138.92,133.97,57.00,52.41,60.15,42.55,33.96,38.25,150.84,105.82,0.38
18.75,0,43.75,37.5,0,3.47,175.46,178.18,182.94,139.33,135.32,131.19,58.10,51.51,56.21,41.88,33.66,37.77,149.80,104.53,0.38
43.75,0,18.75,37.5,0,3.60,181.63,181.83,182.30,139.38,131.63,133.35,69.22,61.62,59.35,47.47,37.50,42.48,150.50,116.49,0.37
43.75,0,18.75,37.5,0,3.60,183.44,184.93,172.33,130.81,139.18,136.86,57.72,66.56,67.98,47.37,35.59,41.48,150.49,113.98,0.37
43.75,0,37.5,18.75,0,3.44,164.63,170.06,165.49,135.16,134.24,128.24,54.41,52.94,45.71,37.45,27.90,32.67,143.94,91.12,0.39
43.75,0,37.5,18.75,0,3.45,179.69,173.88,178.53,131.33,126.31,130.39,59.88,55.74,52.44,43.22,36.27,39.74,145.35,109.27,0.37
43.75,0,37.5,18.75,0,3.44,165.87,182.20,172.67,127.84,132.35,125.19,50.41,49.55,51.16,39.25,32.93,36.09,143.50,99.89,0.38
50,0,12.5,37.5,0,3.62,176.61,183.45,175.74,135.99,139.53,132.18,64.82,63.11,68.34,47.79,35.28,41.54,150.13,114.09,0.37
50,0,12.5,37.5,0,3.63,188.03,179.36,176.30,134.91,133.77,137.59,63.08,68.85,68.75,49.30,37.43,43.37,150.69,118.71,0.37
50,0,37.5,12.5,0,3.41,179.25,177.93,167.91,128.50,123.68,128.25,49.67,65.67,51.66,43.04,36.17,39.61,142.89,108.77,0.37
50,0,37.5,12.5,0,3.41,171.88,173.78,171.01,130.24,132.19,125.72,44.88,40.48,61.89,38.02,31.75,34.88,143.66,96.81,0.39
50,0,37.5,12.5,0,3.42,176.14,173.88,158.77,126.49,133.54,129.94,49.57,55.92,57.91,40.60,30.86,35.73,143.19,98.97,0.38
