Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
37.5,18.75,0,43.75,0,3.91,203.18,200.52,192.28,132.66,141.40,145.51,72.87,80.62,80.65,58.59,45.89,52.24,159.46,141.29,0.35
43.75,18.75,0,37.5,0,3.90,194.27,201.22,198.15,139.11,140.78,130.86,79.05,78.45,82.48,60.19,47.93,54.06,157.24,145.51,0.35
43.75,18.75,0,37.5,0,3.89,201.80,207.84,199.69,136.31,141.30,134.42,81.93,82.25,85.13,63.02,51.28,57.15,159.27,153.13,0.34
18.75,43.75,0,37.5,0,4.18,222.08,214.18,211.11,144.66,146.65,151.32,81.55,86.93,84.04,64.15,52.66,58.41,170.29,157.25,0.35
18.75,43.75,0,37.5,0,4.19,211.06,226.75,226.56,149.06,152.21,131.42,93.31,82.09,98.70,70.27,56.92,63.59,169.97,169.63,0.33
37.5,43.75,0,18.75,0,4.14,216.37,212.13,210.26,141.89,141.14,144.49,90.72,94.58,92.02,69.55,55.91,62.73,165.98,167.13,0.33
37.5,43.75,0,18.75,0,4.13,205.03,210.50,206.78,145.35,138.44,142.51,93.57,92.17,92.19,68.65,53.33,60.99,163.88,162.77,0.33
37.5,43.75,0,18.75,0,4.13,210.12,213.65,209.37,138.13,145.36,142.96,88.27,93.19,91.95,68.46,54.73,61.60,165.12,164.35,0.33
12.5,50,0,37.5,0,4.26,220.74,220.01,216.85,147.79,151.68,147.77,82.99,85.71,86.45,65.05,54.08,59.57,172.45,160.25,0.35
12.5,50,0,37.5,0,4.26,222.19,222.22,221.58,143.54,151.54,147.13,84.33,88.58,91.94,67.89,56.90,62.39,172.26,167.02,0.34
37.5,50,0,12.5,0,4.20,217.04,214.83,219.15,143.64,143.28,142.46,95.66,95.15,98.05,72.55,58.59,65.57,167.75,174.04,0.33
37.5,50,0,12.5,0,4.20,213.70,212.67,215.04,142.55,140.32,147.73,93.57,100.28,95.62,71.95,56.63,64.29,166.96,170.93,0.33
37.5,50,0,12.5,0,4.19,209.30,215.84,213.73,144.07,146.34,141.36,93.72,94.84,97.43,71.00,55.74,63.37,166.93,168.76,0.33
6.25,56.25,0,37.5,0,4.34,238.31,220.34,237.00,153.65,138.91,155.24,96.29,97.90,87.58,72.88,60.70,66.79,176.80,177.96,0.33
6.25,56.25,0,37.5,0,4.34,235.02,221.89,229.11,149.22,146.19,154.72,87.45,89.76,88.48,68.87,58.56,63.71,176.25,170.58,0.34
37.5,56.25,0,6.25,0,4.26,216.52,217.56,217.59,143.19,140.68,145.33,98.81,102.30,100.54,75.16,59.63,67.40,167.79,178.32,0.32
37.5,56.25,0,6.25,0,4.27,220.32,221.17,221.43,142.32,147.68,145.71,97.06,103.17,104.89,76.17,60.66,68.41,170.48,181.03,0.32
37.5,56.25,0,6.25,0,4.27,218.79,219.72,218.10,144.67,148.47,145.30,98.78,101.69,103.04,75.25,59.00,67.12,170.39,177.99,0.33
12.5,75,0,12.5,0,4.54,239.50,238.69,233.98,148.95,154.15,153.20,100.68,105.56,107.13,79.73,65.97,72.85,180.53,192.64,0.32
12.5,75,0,12.5,0,4.55,239.53,240.59,237.68,149.76,152.75,152.34,102.26,105.21,105.95,80.21,67.20,73.71,180.83,194.67,0.32
12.5,75,0,12.5,0,4.54,239.75,239.31,236.98,149.10,152.86,153.34,101.94,106.88,105.49,80.25,66.90,73.57,180.74,194.34,0.32
75,12.5,0,12.5,0,3.74,190.71,187.42,192.06,131.16,127.36,135.03,77.15,76.86,65.53,55.68,45.55,50.62,150.81,136.57,0.35
75,12.5,0,12.5,0,3.72,180.75,184.66,182.85,134.04,136.87,134.14,76.38,77.70,81.05,56.57,40.85,48.71,150.93,131.94,0.35
75,12.5,0,12.5,0,3.73,188.41,188.72,189.07,129.48,136.53,131.59,78.42,77.77,81.55,58.79,45.69,52.24,151.27,140.54,0.35
12.5,12.5,0,75,0,3.88,199.27,206.46,206.60,148.09,145.97,141.11,76.55,74.38,77.70,57.54,46.32,51.93,164.74,140.97,0.36
12.5,12.5,0,75,0,3.87,203.64,199.28,197.87,143.99,145.37,147.71,72.24,75.96,76.88,55.93,43.98,49.96,163.88,136.04,0.36
12.5,12.5,0,75,0,3.88,203.80,197.40,205.47,146.37,142.09,148.21,78.86,78.62,75.39,57.91,45.44,51.68,164.45,140.33,0.36
12.5,62.5,0,25,0,4.39,227.06,230.30,222.30,143.12,153.38,151.79,86.09,96.25,98.02,71.50,59.01,65.25,175.13,174.13,0.33
12.5,62.5,0,25,0,4.40,230.17,226.34,225.48,147.64,148.06,151.92,90.44,94.52,92.14,71.05,59.64,65.34,175.25,174.36,0.33
25,62.5,0,12.5,0,4.38,227.62,228.87,225.17,146.91,147.11,148.66,98.45,104.17,100.53,76.56,62.54,69.55,174.11,184.14,0.32
25,12.5,0,62.5,0,3.87,199.16,196.72,190.19,138.59,145.16,145.74,73.22,81.64,80.62,57.53,42.94,50.24,160.56,136.47,0.36
25,12.5,0,62.5,0,3.87,189.02,200.49,200.66,146.84,144.05,137.05,83.28,75.69,83.56,59.32,44.02,51.67,160.67,140.01,0.35
62.5,12.5,0,25,0,3.77,189.97,189.22,189.88,138.28,134.92,135.54,79.35,79.30,79.88,58.39,44.36,51.38,154.06,138.72,0.35
62.5,25,0,12.5,0,3.88,195.67,199.00,199.26,140.04,137.95,135.20,87.95,83.89,86.98,63.81,49.28,56.55,157.81,151.54,0.34
62.5,25,0,12.5,0,3.88,200.89,193.62,204.11,141.39,130.14,138.00,88.13,88.10,79.19,63.69,49.83,56.76,157.52,152.02,0.34
